Kısım,Sınıf,Sınıf açıklama,Yıl,Girişim sayısı,CR4,CR8,HHI 
"C - İmalat
      Manufacturing",2652,Kol saatlerinin. masa ve duvar saatlerinin ve benzerlerinin imalatı,2010,8,92.50689317,100,0.338144608
"C - İmalat
      Manufacturing",2652,Kol saatlerinin. masa ve duvar saatlerinin ve benzerlerinin imalatı,2011,9,87.41957278,98.75210914,0.33271063
"C - İmalat
      Manufacturing",2652,Kol saatlerinin. masa ve duvar saatlerinin ve benzerlerinin imalatı,2012,25,79.0749182,92.70872518,0.285328494
"C - İmalat
      Manufacturing",2652,Kol saatlerinin. masa ve duvar saatlerinin ve benzerlerinin imalatı,2013,9,84.67201892,99.60823941,0.322145908
"C - İmalat
      Manufacturing",2652,Kol saatlerinin. masa ve duvar saatlerinin ve benzerlerinin imalatı,2014,10,86.59799781,99.52413545,0.373470665
"C - İmalat
      Manufacturing",2652,Kol saatlerinin. masa ve duvar saatlerinin ve benzerlerinin imalatı,2015,12,76.29018147,93.81248213,0.212461253
"C - İmalat
      Manufacturing",2660,Işınlama. elektro medikal ve elektro terapi ile ilgili cihazların imalatı,2009,25,48.23733244,77.43630052,0.090353369
"C - İmalat
      Manufacturing",2660,Işınlama. elektro medikal ve elektro terapi ile ilgili cihazların imalatı,2010,13,66.63739688,91.66019166,0.171706595
"C - İmalat
      Manufacturing",2660,Işınlama. elektro medikal ve elektro terapi ile ilgili cihazların imalatı,2011,13,75.6128426,95.1276954,0.240295733
"C - İmalat
      Manufacturing",2660,Işınlama. elektro medikal ve elektro terapi ile ilgili cihazların imalatı,2012,12,70.86921696,94.52602037,0.159133444
"C - İmalat
      Manufacturing",2660,Işınlama. elektro medikal ve elektro terapi ile ilgili cihazların imalatı,2013,13,78.86721156,95.98011614,0.209295996
"C - İmalat
      Manufacturing",2660,Işınlama. elektro medikal ve elektro terapi ile ilgili cihazların imalatı,2014,12,79.95795295,96.1677859,0.245589322
"C - İmalat
      Manufacturing",2660,Işınlama. elektro medikal ve elektro terapi ile ilgili cihazların imalatı,2015,17,73.39551714,91.81014419,0.168093995
"C - İmalat
      Manufacturing",2670,Optik aletlerin ve fotografik ekipmanların imalatı,2009,23,72.58035166,82.90413284,0.386973468
"C - İmalat
      Manufacturing",2670,Optik aletlerin ve fotografik ekipmanların imalatı,2010,8,99.4508616,100,0.616089304
"C - İmalat
      Manufacturing",2670,Optik aletlerin ve fotografik ekipmanların imalatı,2011,6,96.90037605,100,0.574823146
"C - İmalat
      Manufacturing",2670,Optik aletlerin ve fotografik ekipmanların imalatı,2012,5,99.83245767,100,0.726262128
"C - İmalat
      Manufacturing",2670,Optik aletlerin ve fotografik ekipmanların imalatı,2013,8,97.38800463,100,0.524239877
"C - İmalat
      Manufacturing",2670,Optik aletlerin ve fotografik ekipmanların imalatı,2014,9,97.53167766,99.99832405,0.32113316
"C - İmalat
      Manufacturing",2670,Optik aletlerin ve fotografik ekipmanların imalatı,2015,11,95.88318596,99.70279753,0.330243201
"C - İmalat
      Manufacturing",2680,Manyetik ve optik kaset. bant. CD. vb. ortamların imalatı,2009,14,90.9344872,99.54093543,0.382514301
"C - İmalat
      Manufacturing",2680,Manyetik ve optik kaset. bant. CD. vb. ortamların imalatı,2010,19,73.12570783,95.22720472,0.204194559
"C - İmalat
      Manufacturing",2680,Manyetik ve optik kaset. bant. CD. vb. ortamların imalatı,2011,18,74.57817772,95.77984809,0.168386093
"C - İmalat
      Manufacturing",2680,Manyetik ve optik kaset. bant. CD. vb. ortamların imalatı,2012,14,68.64587634,98.88941403,0.155325298
"C - İmalat
      Manufacturing",2680,Manyetik ve optik kaset. bant. CD. vb. ortamların imalatı,2013,18,68.88214515,95.34775074,0.148958646
"C - İmalat
      Manufacturing",2680,Manyetik ve optik kaset. bant. CD. vb. ortamların imalatı,2014,20,78.68619861,92.87861777,0.204446575
"C - İmalat
      Manufacturing",2680,Manyetik ve optik kaset. bant. CD. vb. ortamların imalatı,2015,25,70.79863617,85.79775025,0.181332547
"C - İmalat
      Manufacturing",2711,Elektrik motorlarının. jeneratörlerin ve transformatörlerin imalatı,2009,308,58.12766195,75.03332248,0.118294579
"C - İmalat
      Manufacturing",2711,Elektrik motorlarının. jeneratörlerin ve transformatörlerin imalatı,2010,410,53.00757904,69.78440111,0.101103742
"C - İmalat
      Manufacturing",2711,Elektrik motorlarının. jeneratörlerin ve transformatörlerin imalatı,2011,591,45.73721828,63.24013846,0.072767521
"C - İmalat
      Manufacturing",2711,Elektrik motorlarının. jeneratörlerin ve transformatörlerin imalatı,2012,500,42.15467457,60.40733467,0.064278729
"C - İmalat
      Manufacturing",2711,Elektrik motorlarının. jeneratörlerin ve transformatörlerin imalatı,2013,547,46.8475163,63.29617543,0.069987258
"C - İmalat
      Manufacturing",2711,Elektrik motorlarının. jeneratörlerin ve transformatörlerin imalatı,2014,553,46.17347569,60.09527336,0.072377611
"C - İmalat
      Manufacturing",2711,Elektrik motorlarının. jeneratörlerin ve transformatörlerin imalatı,2015,541,47.37057779,62.63683485,0.06857489
"C - İmalat
      Manufacturing",2712,Elektrik dağıtım ve kontrol cihazları imalatı,2009,817,61.79551273,67.94375949,0.228116069
"C - İmalat
      Manufacturing",2712,Elektrik dağıtım ve kontrol cihazları imalatı,2010,1084,57.64246687,63.00515019,0.153323163
"C - İmalat
      Manufacturing",2712,Elektrik dağıtım ve kontrol cihazları imalatı,2011,1371,59.62257603,63.99881501,0.169760304
"C - İmalat
      Manufacturing",2712,Elektrik dağıtım ve kontrol cihazları imalatı,2012,1197,57.2804517,62.17593608,0.155925564
"C - İmalat
      Manufacturing",2712,Elektrik dağıtım ve kontrol cihazları imalatı,2013,993,53.59542015,58.1731713,0.144001469
"C - İmalat
      Manufacturing",2712,Elektrik dağıtım ve kontrol cihazları imalatı,2014,1036,52.42360303,57.56747475,0.133306987
"C - İmalat
      Manufacturing",2712,Elektrik dağıtım ve kontrol cihazları imalatı,2015,1185,49.68451604,55.24574083,0.119113973
"C - İmalat
      Manufacturing",2720,Akümülatör ve pil imalatı,2009,46,90.72443508,95.21883929,0.297377092
"C - İmalat
      Manufacturing",2720,Akümülatör ve pil imalatı,2010,42,88.48475888,93.31547037,0.28393809
"C - İmalat
      Manufacturing",2720,Akümülatör ve pil imalatı,2011,45,86.43194024,92.90732564,0.260579424
"C - İmalat
      Manufacturing",2720,Akümülatör ve pil imalatı,2012,48,85.83032477,93.12719529,0.259903997
"C - İmalat
      Manufacturing",2720,Akümülatör ve pil imalatı,2013,53,84.59454885,93.23133215,0.244506199
"C - İmalat
      Manufacturing",2720,Akümülatör ve pil imalatı,2014,55,82.95470983,92.38846536,0.224635353
"C - İmalat
      Manufacturing",2720,Akümülatör ve pil imalatı,2015,64,81.66460933,92.41573903,0.216385363
"C - İmalat
      Manufacturing",2731,Fiber optik kabloların imalatı,2009,27,68.74014378,81.17278582,0.276610626
"C - İmalat
      Manufacturing",2731,Fiber optik kabloların imalatı,2010,25,78.26071457,89.57221012,0.302851809
"C - İmalat
      Manufacturing",2731,Fiber optik kabloların imalatı,2011,33,77.43016137,88.42623716,0.306384726
"C - İmalat
      Manufacturing",2731,Fiber optik kabloların imalatı,2012,30,84.47267253,95.40070221,0.535205049
"C - İmalat
      Manufacturing",2731,Fiber optik kabloların imalatı,2013,31,84.66355515,95.5778365,0.506673277
"C - İmalat
      Manufacturing",2731,Fiber optik kabloların imalatı,2014,27,82.11141522,94.05553673,0.467621446
"C - İmalat
      Manufacturing",2731,Fiber optik kabloların imalatı,2015,26,87.76128674,95.83335637,0.478003752
"C - İmalat
      Manufacturing",2732,Diğer elektronik ve elektrik telleri ve kablolarının imalatı,2009,202,34.90150528,51.39363947,0.048364851
"C - İmalat
      Manufacturing",2732,Diğer elektronik ve elektrik telleri ve kablolarının imalatı,2010,237,29.49333015,44.98498661,0.037738522
"C - İmalat
      Manufacturing",2732,Diğer elektronik ve elektrik telleri ve kablolarının imalatı,2011,211,27.23172081,42.03156707,0.03407924
"C - İmalat
      Manufacturing",2732,Diğer elektronik ve elektrik telleri ve kablolarının imalatı,2012,222,25.2108101,38.90223644,0.031897729
"C - İmalat
      Manufacturing",2732,Diğer elektronik ve elektrik telleri ve kablolarının imalatı,2013,202,27.02739863,41.36561669,0.033020343
"C - İmalat
      Manufacturing",2732,Diğer elektronik ve elektrik telleri ve kablolarının imalatı,2014,216,27.52389566,42.3666059,0.03382805
"C - İmalat
      Manufacturing",2732,Diğer elektronik ve elektrik telleri ve kablolarının imalatı,2015,256,28.09169049,43.548385,0.035505924
"C - İmalat
      Manufacturing",2733,Kablolamada kullanılan gereçlerin imalatı,2009,94,61.51489524,77.73301967,0.129644677
"C - İmalat
      Manufacturing",2733,Kablolamada kullanılan gereçlerin imalatı,2010,118,46.72494797,65.76427171,0.08062863
"C - İmalat
      Manufacturing",2733,Kablolamada kullanılan gereçlerin imalatı,2011,149,48.73426121,66.69838431,0.087367453
"C - İmalat
      Manufacturing",2733,Kablolamada kullanılan gereçlerin imalatı,2012,183,48.14954502,64.17373394,0.078845038
"C - İmalat
      Manufacturing",2733,Kablolamada kullanılan gereçlerin imalatı,2013,307,47.60378782,61.95739426,0.078657201
"C - İmalat
      Manufacturing",2733,Kablolamada kullanılan gereçlerin imalatı,2014,313,39.35377621,54.22604733,0.059067648
"C - İmalat
      Manufacturing",2733,Kablolamada kullanılan gereçlerin imalatı,2015,315,44.80912681,61.40288114,0.069850661
"C - İmalat
      Manufacturing",2740,Elektrikli aydınlatma ekipmanlarının imalatı,2009,3222,17.87136084,24.94642117,0.012887418
"C - İmalat
      Manufacturing",2740,Elektrikli aydınlatma ekipmanlarının imalatı,2010,2938,16.41958783,22.6309627,0.011961628
"C - İmalat
      Manufacturing",2740,Elektrikli aydınlatma ekipmanlarının imalatı,2011,2665,18.40033595,26.71007493,0.014337688
"C - İmalat
      Manufacturing",2740,Elektrikli aydınlatma ekipmanlarının imalatı,2012,2877,16.33210447,22.85550178,0.010806638
"C - İmalat
      Manufacturing",2740,Elektrikli aydınlatma ekipmanlarının imalatı,2013,3241,19.60282896,26.71282062,0.015693577
"C - İmalat
      Manufacturing",2740,Elektrikli aydınlatma ekipmanlarının imalatı,2014,3321,23.84718543,31.16814343,0.021743535
"C - İmalat
      Manufacturing",2740,Elektrikli aydınlatma ekipmanlarının imalatı,2015,3423,17.63283299,25.0674689,0.014352344
"C - İmalat
      Manufacturing",2751,Elektrikli ev aletlerinin imalatı,2009,548,76.1299167,86.87745806,0.238707671
"C - İmalat
      Manufacturing",2751,Elektrikli ev aletlerinin imalatı,2010,492,74.3113027,85.40637049,0.224907742
"C - İmalat
      Manufacturing",2751,Elektrikli ev aletlerinin imalatı,2011,658,79.4820185,84.92503368,0.270973664
"C - İmalat
      Manufacturing",2751,Elektrikli ev aletlerinin imalatı,2012,576,76.57137571,82.56593732,0.199288966
"C - İmalat
      Manufacturing",2751,Elektrikli ev aletlerinin imalatı,2013,567,77.1134838,82.34194854,0.253737782
"C - İmalat
      Manufacturing",2751,Elektrikli ev aletlerinin imalatı,2014,592,77.12924166,82.10473967,0.256555247
"C - İmalat
      Manufacturing",2751,Elektrikli ev aletlerinin imalatı,2015,580,78.97137966,83.73518164,0.254768814
"C - İmalat
      Manufacturing",2752,Elektriksiz ev aletlerinin imalatı,2009,1689,28.21059643,41.11147697,0.029614061
"C - İmalat
      Manufacturing",2752,Elektriksiz ev aletlerinin imalatı,2010,1209,28.37168671,36.47357071,0.026423232
"C - İmalat
      Manufacturing",2752,Elektriksiz ev aletlerinin imalatı,2011,1468,55.32820616,64.49854486,0.09204517
"C - İmalat
      Manufacturing",2752,Elektriksiz ev aletlerinin imalatı,2012,1221,44.4996729,54.0808306,0.082643401
"C - İmalat
      Manufacturing",2752,Elektriksiz ev aletlerinin imalatı,2013,1226,38.51192049,47.8471184,0.079954023
"C - İmalat
      Manufacturing",2752,Elektriksiz ev aletlerinin imalatı,2014,1019,47.96318392,57.90227135,0.121619489
"C - İmalat
      Manufacturing",2752,Elektriksiz ev aletlerinin imalatı,2015,970,27.84214545,41.07042497,0.034691494
"C - İmalat
      Manufacturing",2790,Diğer elektrikli ekipmanların imalatı,2009,231,34.35575942,42.39891707,0.058394869
"C - İmalat
      Manufacturing",2790,Diğer elektrikli ekipmanların imalatı,2010,343,40.23000626,51.5574398,0.063374502
"C - İmalat
      Manufacturing",2790,Diğer elektrikli ekipmanların imalatı,2011,358,47.17599013,59.94149709,0.082636733
"C - İmalat
      Manufacturing",2790,Diğer elektrikli ekipmanların imalatı,2012,351,40.36059178,49.90076249,0.081333568
"C - İmalat
      Manufacturing",2790,Diğer elektrikli ekipmanların imalatı,2013,381,32.47816128,39.98308288,0.051536018
"C - İmalat
      Manufacturing",2790,Diğer elektrikli ekipmanların imalatı,2014,345,32.73101214,44.0889038,0.049617509
"C - İmalat
      Manufacturing",2790,Diğer elektrikli ekipmanların imalatı,2015,352,32.18162854,41.37055836,0.049355131
"C - İmalat
      Manufacturing",2811,Motor ve türbin imalatı (hava taşıtı. motorlu taşıt ve motosiklet motorları hariç),2009,18,95.93466383,98.99112722,0.619125847
"C - İmalat
      Manufacturing",2811,Motor ve türbin imalatı (hava taşıtı. motorlu taşıt ve motosiklet motorları hariç),2010,37,88.04150237,93.71380602,0.344681124
"C - İmalat
      Manufacturing",2811,Motor ve türbin imalatı (hava taşıtı. motorlu taşıt ve motosiklet motorları hariç),2011,48,84.39355712,90.24079579,0.330546107
"C - İmalat
      Manufacturing",2811,Motor ve türbin imalatı (hava taşıtı. motorlu taşıt ve motosiklet motorları hariç),2012,58,81.46488163,88.0448639,0.372548842
"C - İmalat
      Manufacturing",2811,Motor ve türbin imalatı (hava taşıtı. motorlu taşıt ve motosiklet motorları hariç),2013,73,84.6281713,89.51506299,0.430130778
"C - İmalat
      Manufacturing",2811,Motor ve türbin imalatı (hava taşıtı. motorlu taşıt ve motosiklet motorları hariç),2014,85,85.64106306,90.97730322,0.424395042
"C - İmalat
      Manufacturing",2811,Motor ve türbin imalatı (hava taşıtı. motorlu taşıt ve motosiklet motorları hariç),2015,105,86.48605101,90.82864232,0.541599378
"C - İmalat
      Manufacturing",2812,Akışkan gücü ile çalışan ekipmanların imalatı,2009,77,57.40596718,71.02892184,0.16730218
"C - İmalat
      Manufacturing",2812,Akışkan gücü ile çalışan ekipmanların imalatı,2010,82,58.14260805,68.66199261,0.176716996
"C - İmalat
      Manufacturing",2812,Akışkan gücü ile çalışan ekipmanların imalatı,2011,127,58.58302082,67.31376962,0.196759344
"C - İmalat
      Manufacturing",2812,Akışkan gücü ile çalışan ekipmanların imalatı,2012,165,52.37527652,62.59319031,0.154871972
"C - İmalat
      Manufacturing",2812,Akışkan gücü ile çalışan ekipmanların imalatı,2013,163,50.84191002,59.59487127,0.143900722
"C - İmalat
      Manufacturing",2812,Akışkan gücü ile çalışan ekipmanların imalatı,2014,206,50.57586071,59.30028871,0.151096757
"C - İmalat
      Manufacturing",2812,Akışkan gücü ile çalışan ekipmanların imalatı,2015,232,47.52598981,54.43193516,0.127649277
"C - İmalat
      Manufacturing",2813,Diğer pompaların ve kompresörlerin imalatı,2009,350,19.76479888,33.25600605,0.019509236
"C - İmalat
      Manufacturing",2813,Diğer pompaların ve kompresörlerin imalatı,2010,466,24.68761205,39.0721151,0.028035344
"C - İmalat
      Manufacturing",2813,Diğer pompaların ve kompresörlerin imalatı,2011,537,22.69772599,35.11162813,0.022276001
"C - İmalat
      Manufacturing",2813,Diğer pompaların ve kompresörlerin imalatı,2012,527,23.58247767,38.17303236,0.025443767
"C - İmalat
      Manufacturing",2813,Diğer pompaların ve kompresörlerin imalatı,2013,560,21.29703124,33.56142805,0.019902842
"C - İmalat
      Manufacturing",2813,Diğer pompaların ve kompresörlerin imalatı,2014,462,20.23502125,33.81446779,0.020556652
"C - İmalat
      Manufacturing",2813,Diğer pompaların ve kompresörlerin imalatı,2015,508,18.06512876,31.25957938,0.017177736
"C - İmalat
      Manufacturing",2814,Diğer musluk ve valf/vana imalatı,2009,542,23.35467936,34.06463682,0.023122589
"C - İmalat
      Manufacturing",2814,Diğer musluk ve valf/vana imalatı,2010,408,21.55845214,32.23021438,0.020524299
"C - İmalat
      Manufacturing",2814,Diğer musluk ve valf/vana imalatı,2011,383,22.9005381,33.8637296,0.022154603
"C - İmalat
      Manufacturing",2814,Diğer musluk ve valf/vana imalatı,2012,381,21.60892813,33.17354252,0.021062805
"C - İmalat
      Manufacturing",2814,Diğer musluk ve valf/vana imalatı,2013,416,20.45742366,32.48396572,0.019831231
"C - İmalat
      Manufacturing",2814,Diğer musluk ve valf/vana imalatı,2014,433,19.53094047,30.18319197,0.018011718
"C - İmalat
      Manufacturing",2814,Diğer musluk ve valf/vana imalatı,2015,460,20.03020407,30.37437531,0.018656139
"C - İmalat
      Manufacturing",2815,Rulman. dişli/dişli takımı. şanzıman ve tahrik elemanlarının imalatı,2009,111,43.88131736,64.03348636,0.07829904
"C - İmalat
      Manufacturing",2815,Rulman. dişli/dişli takımı. şanzıman ve tahrik elemanlarının imalatı,2010,117,54.47763752,68.39790621,0.094884641
"C - İmalat
      Manufacturing",2815,Rulman. dişli/dişli takımı. şanzıman ve tahrik elemanlarının imalatı,2011,135,58.22732265,73.07920048,0.112440942
"C - İmalat
      Manufacturing",2815,Rulman. dişli/dişli takımı. şanzıman ve tahrik elemanlarının imalatı,2012,171,54.24540367,66.64271606,0.097429646
"C - İmalat
      Manufacturing",2815,Rulman. dişli/dişli takımı. şanzıman ve tahrik elemanlarının imalatı,2013,204,58.66938927,69.18260058,0.106250892
"C - İmalat
      Manufacturing",2815,Rulman. dişli/dişli takımı. şanzıman ve tahrik elemanlarının imalatı,2014,250,52.41525387,63.13466966,0.09341644
"C - İmalat
      Manufacturing",2815,Rulman. dişli/dişli takımı. şanzıman ve tahrik elemanlarının imalatı,2015,274,55.90153842,66.75860831,0.098537558
"C - İmalat
      Manufacturing",2821,Fırın. ocak (sanayi ocakları) ve brülör (ocak ateşleyicileri) imalatı,2009,706,53.69839557,62.29263954,0.176060515
"C - İmalat
      Manufacturing",2821,Fırın. ocak (sanayi ocakları) ve brülör (ocak ateşleyicileri) imalatı,2010,767,22.85877794,34.52051562,0.024926764
"C - İmalat
      Manufacturing",2821,Fırın. ocak (sanayi ocakları) ve brülör (ocak ateşleyicileri) imalatı,2011,702,38.55780165,49.38805394,0.07709235
"C - İmalat
      Manufacturing",2821,Fırın. ocak (sanayi ocakları) ve brülör (ocak ateşleyicileri) imalatı,2012,802,40.93999241,50.46283711,0.104136668
"C - İmalat
      Manufacturing",2821,Fırın. ocak (sanayi ocakları) ve brülör (ocak ateşleyicileri) imalatı,2013,852,38.24686966,47.12751327,0.089425263
"C - İmalat
      Manufacturing",2821,Fırın. ocak (sanayi ocakları) ve brülör (ocak ateşleyicileri) imalatı,2014,933,35.09521284,44.87367393,0.057763208
"C - İmalat
      Manufacturing",2821,Fırın. ocak (sanayi ocakları) ve brülör (ocak ateşleyicileri) imalatı,2015,955,26.15083753,40.13259333,0.031352807
"C - İmalat
      Manufacturing",2822,Kaldırma ve taşıma ekipmanları imalatı,2009,2130,14.61768637,21.80199214,0.010112118
"C - İmalat
      Manufacturing",2822,Kaldırma ve taşıma ekipmanları imalatı,2010,1731,15.21308187,22.62444453,0.010922275
"C - İmalat
      Manufacturing",2822,Kaldırma ve taşıma ekipmanları imalatı,2011,1257,15.14028795,22.6356897,0.010474982
"C - İmalat
      Manufacturing",2822,Kaldırma ve taşıma ekipmanları imalatı,2012,1011,10.81730103,17.82608509,0.007563215
"C - İmalat
      Manufacturing",2822,Kaldırma ve taşıma ekipmanları imalatı,2013,1081,8.481932089,15.03696744,0.005937368
"C - İmalat
      Manufacturing",2822,Kaldırma ve taşıma ekipmanları imalatı,2014,1078,14.1206945,21.14934012,0.010870307
"C - İmalat
      Manufacturing",2822,Kaldırma ve taşıma ekipmanları imalatı,2015,1164,11.97439529,17.86140751,0.008535629
"C - İmalat
      Manufacturing",2823,Büro makineleri ve ekipmanları imalatı (bilgisayarlar ve çevre birimleri hariç),2009,13,57.83301085,92.05930022,0.121939054
"C - İmalat
      Manufacturing",2823,Büro makineleri ve ekipmanları imalatı (bilgisayarlar ve çevre birimleri hariç),2010,11,81.05360182,99.03789764,0.272869549
"C - İmalat
      Manufacturing",2823,Büro makineleri ve ekipmanları imalatı (bilgisayarlar ve çevre birimleri hariç),2011,15,66.06378171,89.74780487,0.133720307
"C - İmalat
      Manufacturing",2823,Büro makineleri ve ekipmanları imalatı (bilgisayarlar ve çevre birimleri hariç),2012,15,82.48167547,99.5754542,0.207839559
"C - İmalat
      Manufacturing",2823,Büro makineleri ve ekipmanları imalatı (bilgisayarlar ve çevre birimleri hariç),2013,18,85.63293619,97.27235182,0.31009772
"C - İmalat
      Manufacturing",2823,Büro makineleri ve ekipmanları imalatı (bilgisayarlar ve çevre birimleri hariç),2014,17,77.21919189,96.95580944,0.225244707
"C - İmalat
      Manufacturing",2823,Büro makineleri ve ekipmanları imalatı (bilgisayarlar ve çevre birimleri hariç),2015,21,78.54318915,94.7246918,0.264904478
"C - İmalat
      Manufacturing",2824,Motorlu veya pnömatik (hava basınçlı) el aletlerinin imalatı,2009,2,100,100,0.993715263
"C - İmalat
      Manufacturing",2824,Motorlu veya pnömatik (hava basınçlı) el aletlerinin imalatı,2010,2,100,100,0.991621412
"C - İmalat
      Manufacturing",2824,Motorlu veya pnömatik (hava basınçlı) el aletlerinin imalatı,2011,1,100,100,1
"C - İmalat
      Manufacturing",2824,Motorlu veya pnömatik (hava basınçlı) el aletlerinin imalatı,2012,2,100,100,0.52
"C - İmalat
      Manufacturing",2824,Motorlu veya pnömatik (hava basınçlı) el aletlerinin imalatı,2013,3,100,100,0.58551733
"C - İmalat
      Manufacturing",2824,Motorlu veya pnömatik (hava basınçlı) el aletlerinin imalatı,2014,5,97.39057489,100,0.318756914
"C - İmalat
      Manufacturing",2824,Motorlu veya pnömatik (hava basınçlı) el aletlerinin imalatı,2015,2,100,100,0.750971976
"C - İmalat
      Manufacturing",2825,Soğutma ve havalandırma donanımlarının imalatı. evde kullanılanlar hariç,2009,930,29.26847894,41.09675842,0.03243759
"C - İmalat
      Manufacturing",2825,Soğutma ve havalandırma donanımlarının imalatı. evde kullanılanlar hariç,2010,1003,19.74355194,31.39038692,0.018160136
"C - İmalat
      Manufacturing",2825,Soğutma ve havalandırma donanımlarının imalatı. evde kullanılanlar hariç,2011,943,30.76823552,41.78029719,0.04043354
"C - İmalat
      Manufacturing",2825,Soğutma ve havalandırma donanımlarının imalatı. evde kullanılanlar hariç,2012,1014,32.86865837,44.59718558,0.045242269
"C - İmalat
      Manufacturing",2825,Soğutma ve havalandırma donanımlarının imalatı. evde kullanılanlar hariç,2013,1051,32.04173059,42.22853317,0.040525795
"C - İmalat
      Manufacturing",2825,Soğutma ve havalandırma donanımlarının imalatı. evde kullanılanlar hariç,2014,1150,26.39179807,38.18770895,0.026860051
"C - İmalat
      Manufacturing",2825,Soğutma ve havalandırma donanımlarının imalatı. evde kullanılanlar hariç,2015,1364,27.44774847,37.3036093,0.024793083
"C - İmalat
      Manufacturing",2829,Başka yerde sınıflandırılmamış diğer genel amaçlı makinelerin imalatı,2009,1269,9.601204408,15.70915829,0.005859167
"C - İmalat
      Manufacturing",2829,Başka yerde sınıflandırılmamış diğer genel amaçlı makinelerin imalatı,2010,1326,10.71753433,17.15922693,0.006827954
"C - İmalat
      Manufacturing",2829,Başka yerde sınıflandırılmamış diğer genel amaçlı makinelerin imalatı,2011,1674,10.64279407,16.61782397,0.006489036
"C - İmalat
      Manufacturing",2829,Başka yerde sınıflandırılmamış diğer genel amaçlı makinelerin imalatı,2012,1638,12.88470478,18.6800863,0.007881809
"C - İmalat
      Manufacturing",2829,Başka yerde sınıflandırılmamış diğer genel amaçlı makinelerin imalatı,2013,1859,9.364422538,14.80300864,0.005889929
"C - İmalat
      Manufacturing",2829,Başka yerde sınıflandırılmamış diğer genel amaçlı makinelerin imalatı,2014,1835,10.65305248,16.74889125,0.006848529
"C - İmalat
      Manufacturing",2829,Başka yerde sınıflandırılmamış diğer genel amaçlı makinelerin imalatı,2015,1660,9.808643433,15.13540313,0.005734712
"C - İmalat
      Manufacturing",2830,Tarım ve ormancılık makinelerinin imalatı,2009,1571,50.60521009,56.99770681,0.184497989
"C - İmalat
      Manufacturing",2830,Tarım ve ormancılık makinelerinin imalatı,2010,1083,57.25444248,62.65097612,0.192632284
"C - İmalat
      Manufacturing",2830,Tarım ve ormancılık makinelerinin imalatı,2011,1116,60.53977403,66.2111168,0.180121344
"C - İmalat
      Manufacturing",2830,Tarım ve ormancılık makinelerinin imalatı,2012,1256,57.39226224,63.49314031,0.187349607
"C - İmalat
      Manufacturing",2830,Tarım ve ormancılık makinelerinin imalatı,2013,1306,51.5115373,56.27552449,0.159053218
"C - İmalat
      Manufacturing",2830,Tarım ve ormancılık makinelerinin imalatı,2014,1050,57.95721005,64.99435744,0.197530704
"C - İmalat
      Manufacturing",2830,Tarım ve ormancılık makinelerinin imalatı,2015,1080,55.1078718,62.72847756,0.17935346
"C - İmalat
      Manufacturing",2841,Metal işleme makinelerinin imalatı,2009,670,34.46277596,48.96796279,0.042743928
"C - İmalat
      Manufacturing",2841,Metal işleme makinelerinin imalatı,2010,810,34.94343448,46.73188596,0.04294438
"C - İmalat
      Manufacturing",2841,Metal işleme makinelerinin imalatı,2011,1046,32.1954491,42.02606704,0.037125417
"C - İmalat
      Manufacturing",2841,Metal işleme makinelerinin imalatı,2012,937,25.63356202,34.56353439,0.024543201
"C - İmalat
      Manufacturing",2841,Metal işleme makinelerinin imalatı,2013,1068,30.34190753,38.81086173,0.034229399
"C - İmalat
      Manufacturing",2841,Metal işleme makinelerinin imalatı,2014,957,30.68426702,38.5161413,0.031963571
"C - İmalat
      Manufacturing",2841,Metal işleme makinelerinin imalatı,2015,976,28.08761527,37.58388243,0.02687516
"C - İmalat
      Manufacturing",2849,Diğer takım tezgahlarının imalatı,2009,292,22.61215502,34.25945468,0.024155565
"C - İmalat
      Manufacturing",2849,Diğer takım tezgahlarının imalatı,2010,209,15.21986932,27.12439976,0.017374103
"C - İmalat
      Manufacturing",2849,Diğer takım tezgahlarının imalatı,2011,207,23.01927029,37.13461891,0.026287618
"C - İmalat
      Manufacturing",2849,Diğer takım tezgahlarının imalatı,2012,224,21.33555686,31.19643522,0.020485245
"C - İmalat
      Manufacturing",2849,Diğer takım tezgahlarının imalatı,2013,245,23.77465771,35.56315519,0.024098477
"C - İmalat
      Manufacturing",2849,Diğer takım tezgahlarının imalatı,2014,239,19.95131417,31.37359812,0.021292414
"C - İmalat
      Manufacturing",2849,Diğer takım tezgahlarının imalatı,2015,276,25.46925084,35.18065922,0.028612805
"C - İmalat
      Manufacturing",2891,Metalürji makineleri imalatı,2009,27,45.96085549,73.6516343,0.081098408
"C - İmalat
      Manufacturing",2891,Metalürji makineleri imalatı,2010,43,26.73563701,48.50587825,0.04410489
"C - İmalat
      Manufacturing",2891,Metalürji makineleri imalatı,2011,56,25.0970338,43.21277023,0.038861993
"C - İmalat
      Manufacturing",2891,Metalürji makineleri imalatı,2012,72,42.60784178,59.667779,0.063990248
"C - İmalat
      Manufacturing",2891,Metalürji makineleri imalatı,2013,89,32.96295498,51.2455124,0.045605527
"C - İmalat
      Manufacturing",2891,Metalürji makineleri imalatı,2014,112,32.80863509,50.91844851,0.04714539
"C - İmalat
      Manufacturing",2891,Metalürji makineleri imalatı,2015,140,29.53048632,46.05558876,0.037185957
"C - İmalat
      Manufacturing",2892,Maden. taş ocağı ve inşaat makineleri imalatı,2009,977,20.33070775,30.98179887,0.020161145
