Kısım,Sınıf,Sınıf açıklama,Yıl,Girişim sayısı,CR4,CR8,HHI 
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0729,Diğer demir dışı metal cevherleri madenciliği,2013,403,46.19034959,71.04511474,0.073905601
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0729,Diğer demir dışı metal cevherleri madenciliği,2014,415,47.82455483,74.0541553,0.082041899
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0729,Diğer demir dışı metal cevherleri madenciliği,2015,365,51.31205982,74.44185005,0.086702182
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0811,Süsleme ve yapı taşları ile kireç taşı. alçı taşı. tebeşir ve kayağantaşı (arduvaz-kayraktaşı) ocakçılığı,2009,630,13.46105993,21.5703382,0.011145379
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0811,Süsleme ve yapı taşları ile kireç taşı. alçı taşı. tebeşir ve kayağantaşı (arduvaz-kayraktaşı) ocakçılığı,2010,680,13.72194926,22.78100922,0.011005611
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0811,Süsleme ve yapı taşları ile kireç taşı. alçı taşı. tebeşir ve kayağantaşı (arduvaz-kayraktaşı) ocakçılığı,2011,803,10.42852539,17.63812027,0.007775781
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0811,Süsleme ve yapı taşları ile kireç taşı. alçı taşı. tebeşir ve kayağantaşı (arduvaz-kayraktaşı) ocakçılığı,2012,779,10.78557605,17.89219006,0.007898184
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0811,Süsleme ve yapı taşları ile kireç taşı. alçı taşı. tebeşir ve kayağantaşı (arduvaz-kayraktaşı) ocakçılığı,2013,975,12.08822961,18.38925845,0.008492524
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0811,Süsleme ve yapı taşları ile kireç taşı. alçı taşı. tebeşir ve kayağantaşı (arduvaz-kayraktaşı) ocakçılığı,2014,1132,10.06900832,16.09186566,0.006549089
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0811,Süsleme ve yapı taşları ile kireç taşı. alçı taşı. tebeşir ve kayağantaşı (arduvaz-kayraktaşı) ocakçılığı,2015,1112,10.98529928,16.99330423,0.007369467
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0812,"Çakıl ve kum ocaklarının faaliyetleri, kil ve kaolin çıkarımı",2009,1013,14.02714646,21.11363185,0.010286271
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0812,"Çakıl ve kum ocaklarının faaliyetleri, kil ve kaolin çıkarımı",2010,1126,15.31652324,20.60678725,0.011313377
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0812,"Çakıl ve kum ocaklarının faaliyetleri, kil ve kaolin çıkarımı",2011,1498,18.75163992,23.94333526,0.01417449
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0812,"Çakıl ve kum ocaklarının faaliyetleri, kil ve kaolin çıkarımı",2012,1550,8.388669315,13.04895083,0.004970879
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0812,"Çakıl ve kum ocaklarının faaliyetleri, kil ve kaolin çıkarımı",2013,1576,10.46507447,16.26458548,0.006390895
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0812,"Çakıl ve kum ocaklarının faaliyetleri, kil ve kaolin çıkarımı",2014,1309,9.129192272,14.29859699,0.005694019
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0812,"Çakıl ve kum ocaklarının faaliyetleri, kil ve kaolin çıkarımı",2015,1117,8.554260995,14.06950891,0.00576481
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0891,Kimyasal ve gübreleme amaçlı mineral madenciliği,2009,52,89.3118641,92.72416011,0.684320872
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0891,Kimyasal ve gübreleme amaçlı mineral madenciliği,2010,54,89.73327193,94.37401647,0.68937902
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0891,Kimyasal ve gübreleme amaçlı mineral madenciliği,2011,54,92.90722561,95.52497622,0.793271501
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0891,Kimyasal ve gübreleme amaçlı mineral madenciliği,2012,66,87.47988011,92.01135479,0.676554955
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0891,Kimyasal ve gübreleme amaçlı mineral madenciliği,2013,88,86.03700945,90.88995876,0.466989219
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0891,Kimyasal ve gübreleme amaçlı mineral madenciliği,2014,86,85.63881096,91.05449547,0.453278695
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0891,Kimyasal ve gübreleme amaçlı mineral madenciliği,2015,92,84.19116173,89.07150752,0.436646259
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0892,Turba çıkarımı,2009,7,77.52858906,100,0.185521055
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0892,Turba çıkarımı,2010,7,79.11708607,100,0.197133558
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0892,Turba çıkarımı,2011,7,78.91008672,100,0.183611637
